dataset,image,marker_count,ids
original,moving_frame_0150.png,1,3
original,moving_frame_0151.png,2,3 14
original,moving_frame_0152.png,2,3 14
original,moving_frame_0153.png,2,3 14
original,moving_frame_0154.png,2,3 14
original,moving_frame_0155.png,2,3 14
original,moving_frame_0156.png,2,3 14
original,moving_frame_0157.png,2,3 14
original,moving_frame_0158.png,2,3 14
original,moving_frame_0159.png,2,3 14
original,moving_frame_0160.png,3,0 3 14
original,moving_frame_0161.png,3,0 3 14
original,moving_frame_0162.png,3,0 3 14
original,moving_frame_0163.png,1,0
original,moving_frame_0164.png,1,0
original,moving_frame_0165.png,0,
original,moving_frame_0166.png,1,0
original,moving_frame_0167.png,1,0
original,moving_frame_0168.png,1,0
original,moving_frame_0169.png,0,
original,moving_frame_0170.png,0,
original,moving_frame_0171.png,1,0
original,moving_frame_0172.png,1,0
original,moving_frame_0173.png,0,
original,moving_frame_0174.png,0,
original,moving_frame_0175.png,0,
original,moving_frame_0176.png,0,
original,moving_frame_0177.png,1,1
original,moving_frame_0178.png,1,0
original,moving_frame_0179.png,2,0 1
original,moving_frame_0180.png,1,0
original,moving_frame_0181.png,2,0 1
original,moving_frame_0182.png,2,0 1
original,moving_frame_0183.png,2,0 1
original,moving_frame_0184.png,1,0
original,moving_frame_0185.png,0,
original,moving_frame_0186.png,0,
original,moving_frame_0187.png,0,
original,moving_frame_0188.png,0,
original,moving_frame_0189.png,0,
original,moving_frame_0190.png,0,
original,moving_frame_0191.png,0,
original,moving_frame_0192.png,0,
original,moving_frame_0193.png,0,
original,moving_frame_0194.png,0,
original,moving_frame_0195.png,0,
original,moving_frame_0196.png,0,
original,moving_frame_0197.png,0,
original,moving_frame_0198.png,0,
original,moving_frame_0199.png,0,
original,moving_frame_0200.png,0,
original,moving_frame_0201.png,0,
original,moving_frame_0202.png,0,
original,moving_frame_0203.png,0,
original,static_cam_edge_0.png,3,3 4 7
original,static_cam_edge_1.png,7,1 2 5 6 7 8 14
original,static_cam_edge_3.png,8,1 2 3 5 6 7 8 14
original,static_cam_edge_5.png,6,0 9 10 11 12 13
low_light_pp,moving_frame_0000.png,0,
low_light_pp,moving_frame_0001.png,0,
