method,status,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,baseline_error_cm,direction_error_deg,gt_baseline_m,est_baseline_m,available_cameras,missing_cameras,source,failure_reason,note,est_pitch_deg,est_roll_deg,est_rvec_x,est_rvec_y,est_rvec_z,est_tx_m,est_ty_m,est_tz_m,est_yaw_deg,gt_pitch_deg,gt_roll_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,gt_tx_m,gt_ty_m,gt_tz_m,gt_yaw_deg
AP01,OK,cam0-cam1,cam_edge_0,cam_edge_1,14.14538401452046,1.5328687360878492,14.10591132374197,0.11773259299091886,5.069131069576643,5.210190182814062,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,57.89017310710804,118.16336012541666,0.06250694218623103,1.8748160496158914,0.660027125083044,-4.717518674655561,-0.9996582204547761,1.9727601824969145,139.52724234758577,57.450670973219815,115.90214977992046,0.059735247464964704,1.862313170365479,0.6890226811483594,-4.590674262084118,-0.9808404021811512,1.913047758273379,138.4497834938831
AP01,OK,cam0-cam3,cam_edge_0,cam_edge_3,12.04913425435579,2.7496822222373334,7.213054233078875,1.4345099699471808,3.8191529186563207,3.8912834609871094,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,53.14147902380571,19.813472860349542,0.026703537925659895,0.9782756228192164,0.4075081755713272,-3.8842546237380002,-0.18787000418134925,0.13913250249558473,35.37240275023942,50.53923196926396,21.20580374270508,0.05780068377927822,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
AP01,OK,cam0-cam5,cam_edge_0,cam_edge_5,88.49849718365576,12.803194897589522,65.03556447173358,6.45188546671631,5.667927964501032,5.017572319783696,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,-61.60626040117074,120.56382773709947,-0.23816347203819213,-1.873317222538703,-0.7864040732984717,4.450121828678938,-1.155432095885389,2.009334309161286,-156.9026684624986,-59.18839253897587,121.10918727720495,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.239989224744796,-0.7565583592593794,2.023744001687466,-144.80607014753681
AP01,OK,cam1-cam3,cam_edge_1,cam_edge_3,6.693538956447511,1.8616307118908735,0.06579721552966156,1.7658104034511908,2.172182679705039,2.1715247075497426,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,-50.547020685123066,4.103437657451067,-0.08210289213801972,-0.8837216404385971,-0.2828600748419092,1.4962875342372073,-0.3923789127319825,1.5240347631299622,-19.294124993743416,-52.158716168945,5.145378882018552,-0.07152290562849602,-0.9138098031455153,-0.27444766234862317,1.544386529831069,-0.3757221990345856,1.4805676849234315,-19.440987313922378
AP01,OK,cam1-cam5,cam_edge_1,cam_edge_5,70.72960269275048,11.873287760825889,66.4807869233627,1.4569285459797265,9.833844654272019,9.169036785038392,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,42.900690837561875,117.871948990508,0.06504900568706373,2.0451858993835987,0.9535443549666971,-3.7916891009889184,-2.513475496536789,7.960952848443342,149.72485512253704,43.91477015093176,133.3021054862451,0.07074491249427345,2.174340618010422,0.7301083985994897,-3.9715362540357773,-2.4903976924727136,8.64461218335215,156.5275178587406
AP01,OK,cam3-cam5,cam_edge_3,cam_edge_5,89.83302769030456,12.870307067022516,68.92564656044335,3.695376759800941,9.285515073252315,8.596258607647881,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,-6.453804975000001,130.483210782,-0.2829570787199137,-2.7997111398622363,-1.3055411333975944,2.244102759,-3.209861961,7.652218701,171.436692965,-7.866545909544565,141.70501809791045,-0.15963022206593686,-2.858939487432395,-0.9996874983186074,2.8983748134908356,-3.1018777282117975,8.2582424386392,176.3434827013253
AP02,OK,cam0-cam1,cam_edge_0,cam_edge_1,15.342350398816015,1.7302184670584373,13.834130971131664,0.739765586456936,5.069131069576643,5.207472379287959,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,56.84237591883348,118.85262338833041,0.05555077716150206,1.8927903926123584,0.6806006745592502,-4.687093889562492,-1.0385443428653556,2.017509628074998,141.17812107963692,57.450670973219815,115.90214977992046,0.059735247464964704,1.862313170365479,0.6890226811483594,-4.590674262084118,-0.9808404021811512,1.913047758273379,138.4497834938831
AP02,OK,cam0-cam3,cam_edge_0,cam_edge_3,9.303445201885733,1.947834936672599,5.982666525806746,1.0606083522600485,3.8191529186563207,3.878979583914388,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,52.361351184822745,22.306267633497725,0.05576588019127918,0.9766793983230107,0.4188846498135468,-3.874053408827739,-0.12130480728232507,0.1532251340512052,37.16717633444764,50.53923196926396,21.20580374270508,0.05780068377927822,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
AP02,OK,cam0-cam5,cam_edge_0,cam_edge_5,14.618243112310253,1.321358123343105,12.466253767948654,0.7634097715416104,5.667927964501032,5.792590502180518,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,-60.051336888347784,119.75729280018854,0.0002791726262325298,-1.8708015542408236,-0.6495964185781432,5.382441786468327,-0.7251191566835189,2.0143553186670347,-142.90901433737326,-59.18839253897587,121.10918727720495,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.239989224744796,-0.7565583592593794,2.023744001687466,-144.80607014753681
AP02,OK,cam1-cam3,cam_edge_1,cam_edge_3,11.27748081289317,0.509174634158428,5.89425663552352,2.502507327746011,2.172182679705039,2.2311252460602744,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,-51.97020373394681,5.326744051451377,-0.06547213260216642,-0.9110578141762891,-0.2681865938879498,1.5287688138115985,-0.34511523111557074,1.5879802438244135,-19.12436760346567,-52.158716168945,5.145378882018552,-0.07152290562849602,-0.9138098031455153,-0.27444766234862317,1.544386529831069,-0.3757221990345856,1.4805676849234315,-19.440987313922378
AP02,OK,cam1-cam5,cam_edge_1,cam_edge_5,28.545656749545927,1.0734429987227094,24.05681835988993,0.8845562929557859,9.833844654272019,10.074412837870918,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,44.57808938675254,134.28277184317656,0.05150753048906489,2.1756810139811633,0.716812518876301,-4.1807576617538675,-2.445836290215186,8.833625769920928,157.67957498718968,43.91477015093176,133.3021054862451,0.07074491249427345,2.174340618010422,0.7301083985994897,-3.9715362540357773,-2.4903976924727136,8.64461218335215,156.5275178587406
