variant,method,camera,status,alignment,source_file,translation_error_cm,rotation_error_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_z_m,gt_x_m,gt_y_m,gt_z_m
route1,AP03,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,1.6801745655254676,0.040603382552992576,-3.2428680644795707,-1.5696618344215891,2.054524116147773,-3.22735583,-1.5632142665839586,2.0542108949897364
route1,AP03,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3.4383392376942363,0.03274281661395003,5.892758108367202,0.35415825450462923,2.138406062147129,5.85885887,0.3484195331450478,2.1387615711167207
route2,AP01,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,7.077698876289667,1.136593010778913,0.6344513931406803,-1.6815015506331226,2.0829610645253416,0.58780793,-1.7345552666901032,2.087328294440571
route2,AP01,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,12.994109425884101,0.764877320315312,-4.001190798015798,0.5707834109711414,2.215187881840047,-3.97416732,0.4750864931681852,2.131542681522701
route2,AP01,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,13.600964490775262,1.017477188924627,-3.170420386107444,-1.498069056430514,2.1591541193100996,-3.22735583,-1.5632142665839586,2.0542108949897364
route2,AP01,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,29.24886568453877,1.9471673901771371,5.782303440982559,0.1345236891316659,1.9545403763942417,5.85885887,0.3484195331450478,2.1387615711167207
route2,AP02,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,1.6681371705600454,0.3980671661657537,0.5841088579109166,-1.7381546830073695,2.103191119845749,0.58780793,-1.7345552666901032,2.087328294440571
route2,AP02,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3.51161033391948,0.2334289759714846,-4.008451390755202,0.4674900333461197,2.1317350466781155,-3.97416732,0.4750864931681852,2.131542681522701
route2,AP02,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,2.591537913831084,0.11500127454789555,-3.2479411560741647,-1.5709195841316075,2.040482118358419,-3.22735583,-1.5632142665839586,2.0542108949897364
route2,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,6.158679140866687,0.0722724391840362,5.917427338918451,0.36732072683202865,2.136435157187445,5.85885887,0.3484195331450478,2.1387615711167207
route2,AP03,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,0.5855125317383463,0.047096088661595474,0.587790797268055,-1.7402946848193077,2.086170158658411,0.58780793,-1.7345552666901032,2.087328294440571
route2,AP03,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,1.8641951067584615,0.026531892733786932,-3.9913968477605613,0.48195337235457314,2.129668733019189,-3.97416732,0.4750864931681852,2.131542681522701
route2,AP03,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,1.4811231188762521,0.04461874771587115,-3.2402176137248695,-1.5705451665301047,2.0546636584172013,-3.22735583,-1.5632142665839586,2.0542108949897364
route2,AP03,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3.084888917496815,0.0547147211932525,5.888967314217375,0.3546229720340104,2.141340891974928,5.85885887,0.3484195331450478,2.1387615711167207
