frame,segment,x,y,z,roll,pitch,yaw
0,0,-4.500000,0.000000,2.200000,0.00000000,0.30000000,0.00000000
1,0,-4.360000,0.000000,2.200000,0.00000000,0.32000000,-0.04000000
2,0,-4.220000,0.000000,2.200000,0.00000000,0.34000000,-0.08000000
3,0,-4.080000,0.000000,2.200000,0.00000000,0.36000000,-0.12000000
4,0,-3.940000,0.000000,2.200000,0.00000000,0.38000000,-0.16000000
5,0,-3.800000,0.000000,2.200000,0.00000000,0.40000000,-0.20000000
6,0,-3.660000,0.000000,2.200000,0.00000000,0.42000000,-0.24000000
7,0,-3.520000,0.000000,2.200000,0.00000000,0.44000000,-0.28000000
8,0,-3.380000,0.000000,2.200000,0.00000000,0.46000000,-0.32000000
9,0,-3.240000,0.000000,2.200000,0.00000000,0.48000000,-0.36000000
10,1,-3.100000,0.000000,2.200000,0.00000000,0.50000000,-0.40000000
11,1,-3.048387,0.000000,2.200000,0.00000000,0.50645161,-0.50000000
12,1,-2.996774,0.000000,2.200000,0.00000000,0.51290323,-0.60000000
13,1,-2.945161,0.000000,2.200000,0.00000000,0.51935484,-0.70000000
14,1,-2.893548,0.000000,2.200000,0.00000000,0.52580645,-0.80000000
15,1,-2.841935,0.000000,2.200000,0.00000000,0.53225806,-0.90000000
16,1,-2.790323,0.000000,2.200000,0.00000000,0.53870968,-1.00000000
17,1,-2.738710,0.000000,2.200000,0.00000000,0.54516129,-1.10000000
18,1,-2.687097,0.000000,2.200000,0.00000000,0.55161290,-1.20000000
19,1,-2.635484,0.000000,2.200000,0.00000000,0.55806452,-1.30000000
20,1,-2.583871,0.000000,2.200000,0.00000000,0.56451613,-1.40000000
21,1,-2.532258,0.000000,2.200000,0.00000000,0.57096774,-1.50000000
22,1,-2.480645,0.000000,2.200000,0.00000000,0.57741935,-1.60000000
23,1,-2.429032,0.000000,2.200000,0.00000000,0.58387097,-1.70000000
24,1,-2.377419,0.000000,2.200000,0.00000000,0.59032258,-1.80000000
25,1,-2.325806,0.000000,2.200000,0.00000000,0.59677419,-1.90000000
26,1,-2.274194,0.000000,2.200000,0.00000000,0.60322581,-2.00000000
27,1,-2.222581,0.000000,2.200000,0.00000000,0.60967742,-2.10000000
28,1,-2.170968,0.000000,2.200000,0.00000000,0.61612903,-2.20000000
29,1,-2.119355,0.000000,2.200000,0.00000000,0.62258065,-2.30000000
30,1,-2.067742,0.000000,2.200000,0.00000000,0.62903226,-2.40000000
31,1,-2.016129,0.000000,2.200000,0.00000000,0.63548387,-2.50000000
32,1,-1.964516,0.000000,2.200000,0.00000000,0.64193548,-2.60000000
33,1,-1.912903,0.000000,2.200000,0.00000000,0.64838710,-2.70000000
34,1,-1.861290,0.000000,2.200000,0.00000000,0.65483871,-2.80000000
35,1,-1.809677,0.000000,2.200000,0.00000000,0.66129032,-2.90000000
36,1,-1.758065,0.000000,2.200000,0.00000000,0.66774194,-3.00000000
37,1,-1.706452,0.000000,2.200000,0.00000000,0.67419355,-3.10000000
38,1,-1.654839,0.000000,2.200000,0.00000000,0.68064516,-3.20000000
39,1,-1.603226,0.000000,2.200000,0.00000000,0.68709677,-3.30000000
40,1,-1.551613,0.000000,2.200000,0.00000000,0.69354839,-3.40000000
41,2,-1.500000,0.000000,2.200000,0.00000000,0.70000000,-3.50000000
42,2,-1.452941,0.000000,2.200000,0.00000000,0.70000000,-3.60000000
43,2,-1.405882,0.000000,2.200000,0.00000000,0.70000000,-3.70000000
44,2,-1.358824,0.000000,2.200000,0.00000000,0.70000000,-3.80000000
45,2,-1.311765,0.000000,2.200000,0.00000000,0.70000000,-3.90000000
46,2,-1.264706,0.000000,2.200000,0.00000000,0.70000000,-4.00000000
47,2,-1.217647,0.000000,2.200000,0.00000000,0.70000000,-4.10000000
48,2,-1.170588,0.000000,2.200000,0.00000000,0.70000000,-4.20000000
49,2,-1.123529,0.000000,2.200000,0.00000000,0.70000000,-4.30000000
50,2,-1.076471,0.000000,2.200000,0.00000000,0.70000000,-4.40000000
51,2,-1.029412,0.000000,2.200000,0.00000000,0.70000000,-4.50000000
52,2,-0.982353,0.000000,2.200000,0.00000000,0.70000000,-4.60000000
53,2,-0.935294,0.000000,2.200000,0.00000000,0.70000000,-4.70000000
54,2,-0.888235,0.000000,2.200000,0.00000000,0.70000000,-4.80000000
55,2,-0.841176,0.000000,2.200000,0.00000000,0.70000000,-4.90000000
56,2,-0.794118,0.000000,2.200000,0.00000000,0.70000000,-5.00000000
57,2,-0.747059,0.000000,2.200000,0.00000000,0.70000000,-5.10000000
58,3,-0.700000,0.000000,2.200000,0.00000000,0.70000000,-5.20000000
59,3,-0.622222,0.000000,2.200000,0.00000000,0.64444444,-5.20000000
60,3,-0.544444,0.000000,2.200000,0.00000000,0.58888889,-5.20000000
61,3,-0.466667,0.000000,2.200000,0.00000000,0.53333333,-5.20000000
62,3,-0.388889,0.000000,2.200000,0.00000000,0.47777778,-5.20000000
63,3,-0.311111,0.000000,2.200000,0.00000000,0.42222222,-5.20000000
64,3,-0.233333,0.000000,2.200000,0.00000000,0.36666667,-5.20000000
65,3,-0.155556,0.000000,2.200000,0.00000000,0.31111111,-5.20000000
66,3,-0.077778,0.000000,2.200000,0.00000000,0.25555556,-5.20000000
67,4,0.000000,0.000000,2.200000,0.00000000,0.20000000,-5.20000000
68,4,0.083333,0.000000,2.200000,0.00000000,0.23333333,-5.30000000
69,4,0.166667,0.000000,2.200000,0.00000000,0.26666667,-5.40000000
70,4,0.250000,0.000000,2.200000,0.00000000,0.30000000,-5.50000000
71,4,0.333333,0.000000,2.200000,0.00000000,0.33333333,-5.60000000
72,4,0.416667,0.000000,2.200000,0.00000000,0.36666667,-5.70000000
73,5,0.500000,0.000000,2.200000,0.00000000,0.40000000,-5.80000000
74,5,0.512500,0.000000,2.200000,0.00000000,0.41250000,-5.90000000
75,5,0.525000,0.000000,2.200000,0.00000000,0.42500000,-6.00000000
76,5,0.537500,0.000000,2.200000,0.00000000,0.43750000,-6.10000000
77,5,0.550000,0.000000,2.200000,0.00000000,0.45000000,-6.20000000
78,5,0.562500,0.000000,2.200000,0.00000000,0.46250000,-6.30000000
79,5,0.575000,0.000000,2.200000,0.00000000,0.47500000,-6.40000000
80,5,0.587500,0.000000,2.200000,0.00000000,0.48750000,-6.50000000
81,6,0.600000,0.000000,2.200000,0.00000000,0.50000000,-6.60000000
82,6,0.750000,0.000000,2.200000,0.00000000,0.50000000,-6.67692308
83,6,0.900000,0.000000,2.200000,0.00000000,0.50000000,-6.75384615
84,6,1.050000,0.000000,2.200000,0.00000000,0.50000000,-6.83076923
85,6,1.200000,0.000000,2.200000,0.00000000,0.50000000,-6.90769231
86,6,1.350000,0.000000,2.200000,0.00000000,0.50000000,-6.98461538
87,6,1.500000,0.000000,2.200000,0.00000000,0.50000000,-7.06153846
88,6,1.650000,0.000000,2.200000,0.00000000,0.50000000,-7.13846154
89,6,1.800000,0.000000,2.200000,0.00000000,0.50000000,-7.21538462
90,6,1.950000,0.000000,2.200000,0.00000000,0.50000000,-7.29230769
91,6,2.100000,0.000000,2.200000,0.00000000,0.50000000,-7.36923077
92,6,2.250000,0.000000,2.200000,0.00000000,0.50000000,-7.44615385
93,6,2.400000,0.000000,2.200000,0.00000000,0.50000000,-7.52307692
94,6,2.550000,0.000000,2.200000,0.00000000,0.50000000,-7.60000000
95,6,2.700000,0.000000,2.200000,0.00000000,0.50000000,-7.67692308
96,6,2.850000,0.000000,2.200000,0.00000000,0.50000000,-7.75384615
97,6,3.000000,0.000000,2.200000,0.00000000,0.50000000,-7.83076923
98,6,3.150000,0.000000,2.200000,0.00000000,0.50000000,-7.90769231
99,6,3.300000,0.000000,2.200000,0.00000000,0.50000000,-7.98461538
100,6,3.450000,0.000000,2.200000,0.00000000,0.50000000,-8.06153846
101,6,3.600000,0.000000,2.200000,0.00000000,0.50000000,-8.13846154
102,6,3.750000,0.000000,2.200000,0.00000000,0.50000000,-8.21538462
103,6,3.900000,0.000000,2.200000,0.00000000,0.50000000,-8.29230769
104,6,4.050000,0.000000,2.200000,0.00000000,0.50000000,-8.36923077
105,6,4.200000,0.000000,2.200000,0.00000000,0.50000000,-8.44615385
106,6,4.350000,0.000000,2.200000,0.00000000,0.50000000,-8.52307692
107,7,4.500000,0.000000,2.200000,0.00000000,0.50000000,-8.60000000
108,7,4.509091,0.000000,2.200000,0.00000000,0.50000000,-8.70000000
109,7,4.518182,0.000000,2.200000,0.00000000,0.50000000,-8.80000000
110,7,4.527273,0.000000,2.200000,0.00000000,0.50000000,-8.90000000
111,7,4.536364,0.000000,2.200000,0.00000000,0.50000000,-9.00000000
112,7,4.545455,0.000000,2.200000,0.00000000,0.50000000,-9.10000000
113,7,4.554545,0.000000,2.200000,0.00000000,0.50000000,-9.20000000
114,7,4.563636,0.000000,2.200000,0.00000000,0.50000000,-9.30000000
115,7,4.572727,0.000000,2.200000,0.00000000,0.50000000,-9.40000000
116,7,4.581818,0.000000,2.200000,0.00000000,0.50000000,-9.50000000
117,7,4.590909,0.000000,2.200000,0.00000000,0.50000000,-9.60000000
118,8,4.600000,0.000000,2.200000,0.00000000,0.50000000,-9.70000000
119,8,4.600000,0.000000,2.200000,0.00000000,0.55000000,-9.75000000
120,8,4.600000,0.000000,2.200000,0.00000000,0.60000000,-9.80000000
121,8,4.600000,0.000000,2.200000,0.00000000,0.65000000,-9.85000000
122,8,4.600000,0.000000,2.200000,0.00000000,0.70000000,-9.90000000
123,8,4.600000,0.000000,2.200000,0.00000000,0.75000000,-9.95000000
124,8,4.600000,0.000000,2.200000,0.00000000,0.80000000,-10.00000000
